Variable;Connected_to;Weight
seriousness;ISFJ;0.0851354
seriousness;ENTJ;0.0742427
seriousness;ESTJ;0.1120
seriousness;ISTJ;0.2133334
seriousness;INTJ;0.098609
thoroughness;ISFJ;0.0851354
thoroughness;ENTJ;0.0742427
thoroughness;ESTJ;0.1120
thoroughness;ISTJ;0.2133334
thoroughness;INTJ;0.098609
dependability;ISFJ;0.0851354
dependability;ENTJ;0.0742427
dependability;ESTJ;0.1120
dependability;ISTJ;0.2133334
dependability;INTJ;0.098609
practicality;ISFJ;0.0486488
practicality;ENTJ;0.0424244
practicality;ESTJ;0.0640
practicality;ISTJ;0.1219048
practicality;INTJ;0.056348
realism;ISFJ;0.0486488
realism;ENTJ;0.0424244
realism;ESTJ;0.0640
realism;ISTJ;0.1219048
realism;INTJ;0.056348
logical decision-making;ISFJ;0.0486488
logical decision-making;ENTJ;0.0424244
logical decision-making;ESTJ;0.0640
logical decision-making;ISTJ;0.1219048
logical decision-making;INTJ;0.056348
orderliness;ISFJ;0.0851354
orderliness;ENTJ;0.0742427
orderliness;ESTJ;0.1120
orderliness;ISTJ;0.2133334
orderliness;INTJ;0.098609
organizational values;ISFJ;0.0851354
organizational values;ENTJ;0.0742427
organizational values;ESTJ;0.1120
organizational values;ISTJ;0.2133334
organizational values;INTJ;0.098609
tradition and loyalty;ISFJ;0.0851354
tradition and loyalty;ENTJ;0.0742427
tradition and loyalty;ESTJ;0.1120
tradition and loyalty;ISTJ;0.2133334
tradition and loyalty;INTJ;0.098609
friendliness;ENFP;0.0970585
friendliness;ENFJ;0.2906778
friendliness;ESFJ;0.4333336
friendliness;ISFJ;0.1797299
friendliness;ESFP;0.0921053
responsibility;ENFP;0.0970585
responsibility;ENFJ;0.2906778
responsibility;ESFJ;0.4333336
responsibility;ISFJ;0.1797299
responsibility;ESFP;0.0921053
conscientiousness;ENFP;0.0970585
conscientiousness;ENFJ;0.2906778
conscientiousness;ESFJ;0.4333336
conscientiousness;ISFJ;0.1797299
conscientiousness;ESFP;0.0921053
commitment;ENFP;0.055462
commitment;ENFJ;0.1661016
commitment;ESFJ;0.2476192
commitment;ISFJ;0.1027028
commitment;ESFP;0.0526316
thoroughness;ENFP;0.055462
thoroughness;ENFJ;0.1661016
thoroughness;ESFJ;0.2476192
thoroughness;ISFJ;0.1027028
thoroughness;ESFP;0.0526316
accuracy;ENFP;0.055462
accuracy;ENFJ;0.1661016
accuracy;ESFJ;0.2476192
accuracy;ISFJ;0.1027028
accuracy;ESFP;0.0526316
values meaning;ENFP;0.0970585
values meaning;ENFJ;0.2906778
values meaning;ESFJ;0.4333336
values meaning;ISFJ;0.1797299
values meaning;ESFP;0.0921053
connections;ENFP;0.0970585
connections;ENFJ;0.2906778
connections;ESFJ;0.4333336
connections;ISFJ;0.1797299
connections;ESFP;0.0921053
relationships;ENFP;0.0970585
relationships;ENFJ;0.2906778
relationships;ESFJ;0.4333336
relationships;ISFJ;0.1797299
relationships;ESFP;0.0921053
organization;ESTJ;0.1280
organization;ESFJ;0.00761904
organization;ENTJ;0.0757576
organization;ESTP;0.0677968
organization;ENFJ;0.0711864
organization;ENTP;0.0464516
decisiveness;ESTJ;0.1280
decisiveness;ESFJ;0.00761904
decisiveness;ENTJ;0.0757576
decisiveness;ESTP;0.0677968
decisiveness;ENFJ;0.0711864
decisiveness;ENTP;0.0464516
originality;ESTJ;0.1280
originality;ESFJ;0.00761904
originality;ENTJ;0.0757576
originality;ESTP;0.0677968
originality;ENFJ;0.0711864
originality;ENTP;0.0464516
drive for ideas and achievements;ESTJ;0.2240
drive for ideas and achievements;ESFJ;0.1333332
drive for ideas and achievements;ENTJ;0.1325758
drive for ideas and achievements;ESTP;0.1186444
drive for ideas and achievements;ENFJ;0.1245762
