index,Row,Questions / Types,INFJ,INFP,ENFP,ENFJ,INTJ,INTP,ENTP,ENTJ,ISFJ,ISFP,ESFP,ESFJ,ISTJ,ISTP,ESTP,ESTJ,types,count
25,26,Do you actively seek feedback to refine your ideas or projects?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,P/J,8
37,38,Is it more important for you to be dependable and fulfill your duties rather than seek out novel experiences?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
70,71,"Is it more characteristic of you to adopt a structured approach to life’s challenges, rather than exploring various possibilities and adapting as you go?",Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
78,79,Would you rather use established methods to deal with problems than come up with a unique approach every time?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,P/J,8
99,100,Is your self-identity strongly linked to your personal value system?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,P/J,8
127,128,Would you rather have a well-structured plan than go with the flow?,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
233,234,Do you prioritize efficiency and productivity in your work and daily life?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,P/J,8
235,236,Do you frequently create and follow organized systems or structures in your personal or professional life?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,P/J,8
241,242,"Do you typically arrange your environment like your schedules, plans, and systems in a structured and organized way to measure your progress in achieving your goals?",Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,P/J,8
246,247,Do you typically find yourself organizing your external environment and creating structure to reach objectives?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
317,318,"Is it important for you that things are done in a planned, logical and systematic manner?",Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
321,322,Does traditional values and security matter a lot to you?,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,P/J,8
322,323,"Do you often take on roles of leader or organizer, preferring to follow established rules and procedures?",Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
326,327,Do you naturally find yourself planning and organizing details in your daily life?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
329,330,Is it important for you to have a concrete plan rather than keeping your options open?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
352,353,Do you prefer to have a well-defined set of values that you can use to make decisions?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,P/J,8
356,357,Do you value efficiency and getting things done quickly?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,P/J,8
357,358,Are you good at organizing and managing information?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,P/J,8
369,370,Do you quietly forceful in having your ideas accepted and applied?,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,P/J,8
381,382,Are you idealistic and live by your values?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,P/J,8
382,383,"Are you energetic and enthusiastic, as well as responsible, conscientious, and persevering?",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,P/J,8
439,440,Do you systematically set about achieving your goals on schedule and as efficiently as possible?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,P/J,8
456,457,Are you cautious and responsible?,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,P/J,8
461,462,Are you organized and systematic in your approach to following things through and getting them done on time?,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,P/J,8
462,463,Do you follow necessary systems and procedures?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,P/J,8
