index,Row,Questions / Types,INFJ,INFP,ENFP,ENFJ,INTJ,INTP,ENTP,ENTJ,ISFJ,ISFP,ESFP,ESFJ,ISTJ,ISTP,ESTP,ESTJ,types,count
6,7,"Is maintaining peace paramount to you, to the extent of avoiding conflict?",Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,T/F,8
7,8,Are you skillful in mediating conflicts by understanding both sides?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,T/F,8
8,9,Do you actively try to see things from other people's points of view?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,T/F,8
13,14,Are you empathetic and attentive to others' emotional needs?,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,T/F,8
42,43,Is it essential for you to create a sense of harmony and cooperation in your social circle?,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,T/F,8
43,44,Do you often empathize with people and find yourself acting the peacemaker in conflicts?,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,T/F,8
45,46,Do you find yourself deeply empathizing with others and considering their feelings and needs in your decisions?,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,T/F,8
46,47,"Are your personal values and morals a guiding force in your life, often leading you to advocate for causes you believe in?",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,T/F,8
52,53,"When helping others, are you more focused on addressing their emotional needs and establishing harmony than providing practical solutions?",Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,T/F,8
55,56,"When making decisions, do you primarily rely on your personal values and how you feel about the situation?",Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,T/F,8
