index,Row,Questions / Types,INFJ,INFP,ENFP,ENFJ,INTJ,INTP,ENTP,ENTJ,ISFJ,ISFP,ESFP,ESFJ,ISTJ,ISTP,ESTP,ESTJ,types,count
11,12,Do you share your deepest emotions only with those closest to you?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,E/I,8
48,49,"Do you need time alone to process your thoughts and recharge, even if you enjoy meaningful social interactions?",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
59,60,"Do you often need time alone to sort through your feelings and recharge, especially after social interactions?",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
63,64,Are you driven more by your passion and ideals rather than external rewards and recognition?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
106,107,Would you feel drained if you had to frequently engage in large social gatherings?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
110,111,Would you prefer an evening alone to explore your creative interests over going out?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
112,113,Do you consider yourself more sympathetic than outgoing?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
114,115,"Do you often spend time reflecting internally on your thoughts and feelings, rather than discussing them with others?",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
116,117,Do you feel more energized after spending time alone?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
118,119,Do you prefer to think through your thoughts alone before sharing them with others?,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,E/I,8
120,121,Do you generally prefer one-on-one conversations to group discussions?,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,E/I,8
122,123,Do you tend to internalize your feelings until you've sorted them out completely?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
124,125,Do you often ponder on your thoughts and feelings rather than expressing them immediately?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
174,175,"Do you prefer deep, meaningful one-on-one conversations over large group interactions?",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
175,176,"While caring deeply about others, do you frequently need time alone to recharge?",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
180,181,Do you prefer to have a few close friends rather than a large circle of acquaintances?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
184,185,"Do you, more often than not, keep your thoughts and ideas to yourself, unless sharing them with others seems necessary or beneficial?",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
199,200,"Do you experience emotions deeply and privately, and are you selective about sharing your feelings only with trusted individuals?",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
205,206,Do you often find yourself having a strong internal moral compass that you follow regardless of what society dictates?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,E/I,8
206,207,Do you prefer to understand and process your emotions internally rather than discussing them with others?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,E/I,8
289,290,"Are you often described as quiet or reserved, but with a strong desire to contribute to the wellbeing of others?",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
290,291,"Do you favor quality over quantity in your relationships, seeking out deep, meaningful connections over casual acquaintances?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,E/I,8
298,299,Do you typically feel drained after prolonged social interactions and require solitary time for recharging?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
344,345,Do you tend to bottle up negative feelings?,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
372,373,Do you have a rich inner life?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,E/I,8
383,384,Do you have a natural tendency to be self-critical?,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,E/I,8
409,410,Do you prize intelligence in yourself?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,E/I,8
416,417,Do you have a strong need for privacy?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
420,421,Are you introverted and reserved?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
433,434,Do you tend to be quiet and reserved in social settings?,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,E/I,8
